Unnamed: 0.1,Unnamed: 0,index(),Регион,Населенный пункт,Группа компаний,ID проекта,Проект,Корпус,Класс недвижимости,Статус,Месяц,"Продано квартир, шт","Продано квартир, м2","Продано квартир, руб","Продано нежилых, шт","Продано нежилых, м2","Продано нежилых, руб","Продано машиномест, шт","Продано машиномест, м2","Продано машиномест, руб",Таргет,ЖК,Количество квартир,Общая площадь квартир,Дата получения РС,Дата публикации ИНС,Подъездов в доме,Количество квартир на этаже,Количество этажей,Пассажирских лифтов в доме,Грузовых лифтов в доме,Инфраструктура: Продукты,Инфраструктура: Медицина,Инфраструктура: Спорт,Инфраструктура: Новостройки,Инфраструктура: Школы,Инфраструктура: Детские сады,Всероссийский застройщик,Количество студий,Количество однокомнатных квартир,Количество двухкомнатных квартир,Количество трехкомнатных квартир,Количество четырехкомнатных квартир,Количество остальных квартир,Высота потолков,Площадь коммерческих помещений,Всего парковочных мест,Парковочных мест внутри дома,Парковочных мест у дома,Гостевых мест,Общая площадь земельного участка,Площадь детских площадок,Площадь особых площадок,Площадь спортивных площадок,Высота над уровнем моря,Самая низкая точка 250м,Самая высокая точка 250м,Широта,Долгота,Район,Количество домов 250м,Средняя этажность 250м,Расстояние до ближайшего строения,Инфраструктура: Торговые центры,Инфраструктура: Супермаркеты,Инфраструктура: Рядом ВУЗ,Есть железная дорога 250м,Есть ЛЭП 100м,Есть магистральные дороги 100м,Есть АЗС 100м,Есть скверы 500м,Есть лес 500м,Есть водоем 500м,Есть пляж 1000м,Есть кладбище 250м,Есть тюрьма 250м,Есть ПНД 250м,Есть наркодиспансер 250м,Есть промзона 250м,Есть гаражи 500м,Разнообразие общественного транспорта 1000м,Станции электропоезда 1000м,Уехать без пересадок: Луговая,Расстояние по навигатору до: Луговая,Уехать без пересадок: Центр,Расстояние по навигатору до: Центр,Уехать без пересадок: Первая речка,Расстояние по навигатору до: Первая речка,Уехать без пересадок: Вторая речка,Расстояние по навигатору до: Вторая речка,Уехать без пересадок: Третья рабочая,Расстояние по навигатору до: Третья рабочая,Уехать без пересадок: Окатовая,Расстояние по навигатору до: Окатовая,Уехать без пересадок: Баляева,Расстояние по навигатору до: Баляева,Уехать без пересадок: Кампус ДВФУ,Расстояние по навигатору до: Кампус ДВФУ,Расстояние по навигатору до: Артем,Расстояние по навигатору до: В-надеждинское,Основной материал фасада,Вспомогательный материал фасада,Тип дома,Тип фасада,Есть квартиры без отделки,Есть квартиры с черновой отделкой,Есть квартиры с чистовой отделкой,Есть квартиры под ключ,Закрытая территория,Видеонаблюдение во дворе,Есть площадки для собак,Есть велопарковка,Внутренний двор без машин,Вид из окна на море,Дата сбора информации,"Общая сумма полученных денег с проданных квартир, руб",Количество проданных машиномест,Количество проданных квартир,Общая площадь проданных квартир,Процент распроданности,Кумулятивная средняя стоимость кв.метра,Количество проданных нежилых помещений
721,2756,2 757,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37526,Комфорт,Строится,Май 2022,0.0,0.0,0.0,1.0,63.4,6340000.0,0.0,0.0,0.0,0.0,Изумрудный 37526,219,12661,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,3,9,50,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,124,49,119,43.168209,131.946859,Вторая речка,7,12.0,31,1,2,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Да,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Да,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,7271000.0,0.0,1.0,64.7,0.004566210046,112380.2164,0.0
722,2757,2 758,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37526,Комфорт,Строится,Июнь 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Изумрудный 37526,219,12661,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,3,9,50,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,124,49,119,43.168209,131.946859,Вторая речка,7,12.0,31,1,2,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Да,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Да,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,7271000.0,0.0,1.0,64.7,0.004566210046,112380.2164,0.0
723,2758,2 759,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37526,Комфорт,Строится,Июль 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Изумрудный 37526,219,12661,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,3,9,50,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,124,49,119,43.168209,131.946859,Вторая речка,7,12.0,31,1,2,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Да,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Да,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,7271000.0,0.0,1.0,64.7,0.004566210046,112380.2164,0.0
724,2759,2 760,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37526,Комфорт,Строится,Август 2022,1.0,43.5,7787496.0,0.0,0.0,0.0,0.0,0.0,0.0,179022.89655172414,Изумрудный 37526,219,12661,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,3,9,50,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,124,49,119,43.168209,131.946859,Вторая речка,7,12.0,31,1,2,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Да,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Да,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,7271000.0,0.0,1.0,64.7,0.004566210046,112380.2164,0.0
725,2760,2 761,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37527,Комфорт,Строится,Январь 2021,3.0,144.7,16999815.0,0.0,0.0,0.0,0.0,0.0,0.0,117483.17208016587,Изумрудный 37527,219,12635,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,2,9,54,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,114,58,121,43.168209,131.946859,Вторая речка,6,17.0,65,1,2,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Нет,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Нет,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,8955900.0,0.0,2.0,73.2,0.009132420091,122348.607,0.0
726,2761,2 762,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37527,Комфорт,Строится,Февраль 2021,11.0,477.3999999999999,57929990.0,0.0,0.0,0.0,0.0,0.0,0.0,121344.76330121493,Изумрудный 37527,219,12635,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,2,9,54,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,114,58,121,43.168209,131.946859,Вторая речка,6,17.0,65,1,2,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Нет,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Нет,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,8955900.0,0.0,2.0,73.2,0.009132420091,122348.607,0.0
727,2762,2 763,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37527,Комфорт,Строится,Март 2021,21.0,1072.3,125005645.0,0.0,0.0,0.0,0.0,0.0,0.0,116577.11927632193,Изумрудный 37527,219,12635,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,2,9,54,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,114,58,121,43.168209,131.946859,Вторая речка,6,17.0,65,1,2,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Нет,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Нет,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,8955900.0,0.0,2.0,73.2,0.009132420091,122348.607,0.0
728,2763,2 764,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37527,Комфорт,Строится,Апрель 2021,15.0,882.4,96818145.0,0.0,0.0,0.0,0.0,0.0,0.0,109721.37919310971,Изумрудный 37527,219,12635,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,2,9,54,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,114,58,121,43.168209,131.946859,Вторая речка,6,17.0,65,1,2,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Нет,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Нет,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,8955900.0,0.0,2.0,73.2,0.009132420091,122348.607,0.0
729,2764,2 765,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37527,Комфорт,Строится,Май 2021,8.0,428.7,49941055.0,0.0,0.0,0.0,0.0,0.0,0.0,116494.18007930955,Изумрудный 37527,219,12635,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,2,9,54,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,114,58,121,43.168209,131.946859,Вторая речка,6,17.0,65,1,2,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Нет,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Нет,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,8955900.0,0.0,2.0,73.2,0.009132420091,122348.607,0.0
730,2765,2 766,Приморский край,Владивосток,НОВЫЙ ДОМ,206782,Изумрудный,37527,Комфорт,Строится,Июнь 2021,10.0,533.9,61816475.0,0.0,0.0,0.0,0.0,0.0,0.0,115782.87132421802,Изумрудный 37527,219,12635,2018-05-23 00:00:00,2019-09-01 00:00:00,1,10,24,3,2,50,2,9,54,2,2,Нет,0,87,22,88,22,0,2.7,205.5,150,0,150,0,8578,250.0,33.0,0.0,114,58,121,43.168209,131.946859,Вторая речка,6,17.0,65,1,2,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,2,Нет,Нет,9,Да,11.0,Да,8.0,Да,3,Нет,8.0,Нет,12,Нет,7.0,Нет,25,39,32,Керамогранит,Нет,Монолит,Кирпич,Нет,Да,Да,Нет,Нет,Неизвестно,Неизвестно,Да,Нет,0.0,2022-08-24 00:00:00,8955900.0,0.0,2.0,73.2,0.009132420091,122348.607,0.0
